product_area,total_feedback,negative_feedback,critical_feedback,unresolved_feedback,unresolved_critical_feedback,avg_rating,avg_response_time_hours,resolution_rate,negative_rate
billing,89,39,24,36,21,2.797752808988764,55.41573033707865,0.5955056179775281,0.43820224719101125
performance,108,37,21,39,17,3.1018518518518516,53.36574074074074,0.6388888888888888,0.3425925925925926
account_access,105,50,22,40,15,2.619047619047619,54.70190476190476,0.6190476190476191,0.47619047619047616
integrations,101,35,16,41,9,3.0,52.93168316831684,0.594059405940594,0.3465346534653465
onboarding,95,43,3,27,3,2.736842105263158,30.21157894736842,0.7157894736842105,0.45263157894736844
features,106,44,2,22,2,3.0,29.654716981132076,0.7924528301886793,0.41509433962264153
exports,95,36,3,25,2,2.9894736842105263,30.54315789473684,0.7368421052631579,0.37894736842105264
usability,107,48,1,25,1,2.7383177570093458,33.78317757009346,0.7663551401869159,0.4485981308411215
pricing,87,33,1,17,1,2.9310344827586206,33.5448275862069,0.8045977011494253,0.3793103448275862
support,107,39,0,20,0,2.953271028037383,32.825233644859814,0.8130841121495327,0.3644859813084112
