feedback_id,date,channel,customer_segment,plan_type,language,product_area,priority,rating,resolved,response_time_hours,message
FB-00575,2025-05-10,email,freelancer,free,es,account_access,critical,1,False,164.2,"Un acceso no autorizado a nuestro workspace no fue detectado a tiempo. Como freelancer, esto afecta mucho mi flujo de trabajo."
FB-00153,2025-09-23,chat,freelancer,basic,en,account_access,critical,1,False,162.8,Admin accounts lost permissions after the last security update.
FB-00010,2025-11-25,email,freelancer,pro,en,billing,critical,1,False,162.5,"The invoice total doesn't match what I agreed to at checkout. As a freelancer, this matters a lot to my workflow."
FB-00812,2025-11-29,email,freelancer,free,en,performance,critical,1,False,159.3,The app crashes constantly when loading large reports.
FB-00902,2025-05-31,email,startup,enterprise,en,features,critical,1,False,157.4,Key features advertised on the website simply don't exist yet. We're scaling fast and need this resolved quickly.
FB-00444,2025-10-12,chat,startup,pro,en,billing,critical,2,False,154.6,I was charged twice this month and support hasn't responded. We're scaling fast and need this resolved quickly.
FB-00555,2025-04-20,support_ticket,agency,enterprise,en,integrations,critical,2,False,150.3,We can't connect our internal tools because OAuth keeps failing. We manage several client accounts and this is blocking delivery.
FB-00042,2025-09-02,email,agency,enterprise,es,billing,critical,1,False,148.3,"Me cobraron dos veces este mes y el soporte no ha respondido. Como clientes enterprise, esperamos atención prioritaria."
FB-00815,2025-01-08,chat,enterprise,free,en,billing,critical,1,False,146.4,I was charged twice this month and support hasn't responded. This affects multiple departments across our organization.
FB-00597,2025-09-07,chat,startup,free,es,account_access,critical,2,False,146.0,Un acceso no autorizado a nuestro workspace no fue detectado a tiempo.
FB-00209,2025-11-09,contact_form,startup,enterprise,en,integrations,critical,2,False,145.6,"We can't connect our internal tools because OAuth keeps failing. As enterprise customers, we expect priority handling."
FB-00313,2025-01-03,chat,small_business,enterprise,en,account_access,critical,2,False,141.7,Our entire team was locked out for two days with no explanation.
FB-00083,2025-07-22,contact_form,startup,free,es,onboarding,critical,1,False,137.9,Nos dejaron solos tras el registro sin pasos claros a seguir. Estamos creciendo rápido y necesitamos una solución pronto.
FB-00363,2025-05-13,chat,enterprise,free,en,account_access,critical,2,False,132.1,Our entire team was locked out for two days with no explanation. This affects multiple departments across our organization.
FB-00043,2025-04-23,email,small_business,enterprise,es,integrations,critical,1,False,129.5,Las entregas por webhook fallan al azar y perdemos eventos críticos. Nuestro equipo pequeño depende de que esto funcione bien.
FB-00172,2025-05-04,contact_form,enterprise,free,en,billing,critical,2,False,128.6,My subscription renewed without warning and I can't get a refund. This affects multiple departments across our organization.
FB-00357,2025-11-04,chat,small_business,enterprise,es,billing,critical,1,False,121.1,Nos han cobrado de más en el plan enterprise durante tres meses. Nuestro equipo pequeño depende de que esto funcione bien.
FB-00544,2025-05-31,support_ticket,enterprise,basic,es,integrations,critical,1,False,113.6,"No podemos conectar nuestras herramientas internas porque OAuth falla constantemente. Con el plan básico, esperábamos un soporte más ágil."
FB-00218,2025-05-08,review,small_business,basic,en,onboarding,critical,2,False,106.7,Onboarding documentation is outdated and contradicts the actual UI.
FB-00296,2025-01-25,email,freelancer,free,es,account_access,critical,1,False,104.9,"Todo el equipo quedó bloqueado dos días sin explicación. Como freelancer, esto afecta mucho mi flujo de trabajo."
FB-00996,2025-05-06,chat,startup,basic,en,performance,critical,2,False,96.8,"Our team loses hours every week waiting for pages to load. Given our basic plan, we hoped for smoother support."
FB-00402,2025-07-31,nps_survey,startup,pro,es,integrations,critical,1,False,93.0,No podemos conectar nuestras herramientas internas porque OAuth falla constantemente. Pasamos al plan Pro justamente por un mejor servicio.
FB-00324,2025-04-05,email,startup,basic,en,performance,critical,1,False,89.9,"The app crashes constantly when loading large reports. Given our basic plan, we hoped for smoother support."
FB-00833,2025-03-09,support_ticket,enterprise,pro,en,account_access,critical,1,False,88.5,Unauthorized access to our workspace was not detected promptly. This affects multiple departments across our organization.
FB-00462,2025-05-25,email,startup,free,en,billing,critical,2,False,86.2,I was charged twice this month and support hasn't responded. We're scaling fast and need this resolved quickly.
FB-00227,2025-02-21,review,small_business,free,en,account_access,critical,1,False,85.7,Admin accounts lost permissions after the last security update.
FB-00853,2025-12-14,contact_form,small_business,pro,es,exports,critical,1,False,85.1,No podemos exportar datos históricos más allá de 30 días en nuestro plan.
FB-00814,2025-01-04,chat,enterprise,enterprise,en,features,critical,1,False,84.9,We can't use half the features because they're buggy.
FB-00523,2025-04-06,email,small_business,basic,en,account_access,critical,1,False,84.2,Unauthorized access to our workspace was not detected promptly. Our small team depends on this working reliably.
FB-00179,2025-12-23,review,enterprise,basic,es,performance,critical,1,False,82.0,Hemos tenido timeouts severos durante operaciones críticas. Esto impacta a varios departamentos de nuestra organización.
FB-00895,2025-03-25,email,agency,pro,es,account_access,critical,1,False,81.7,Un acceso no autorizado a nuestro workspace no fue detectado a tiempo.
FB-00952,2025-01-18,nps_survey,agency,pro,en,integrations,critical,2,False,80.9,Webhook deliveries fail randomly and we lose critical events.
