feedback_id,date,channel,customer_segment,plan_type,language,message,rating,product_area,sentiment_label,priority,resolved,response_time_hours,clean_message,message_length,word_count,month,is_negative,is_positive,is_critical,is_high_priority,is_unresolved,is_unresolved_critical
FB-00001,2025-12-13,contact_form,small_business,free,es,El precio es justo por el valor que obtenemos de la plataforma. Estamos en el plan gratuito pero esperamos un mínimo de estabilidad.,4,pricing,positive,low,True,15.2,el precio es justo por el valor que obtenemos de la plataforma estamos en el plan gratuito pero esperamos un mínimo de estabilidad,130,23,12,False,True,False,False,False,False
FB-00002,2025-01-04,email,enterprise,pro,en,The API is functional though rate limits can be restrictive. We upgraded to Pro specifically for better service.,3,integrations,neutral,high,True,92.9,the api is functional though rate limits can be restrictive we upgraded to pro specifically for better service,110,18,1,False,False,False,True,False,False
FB-00003,2025-01-23,nps_survey,startup,pro,es,Nos sentimos acompañados desde el registro hasta el primer flujo exitoso.,5,onboarding,positive,low,True,20.2,nos sentimos acompañados desde el registro hasta el primer flujo exitoso,72,11,1,False,True,False,False,False,False
FB-00004,2025-12-05,email,freelancer,free,es,El módulo de reportes carece de filtros básicos que usamos a diario.,2,features,negative,medium,False,23.2,el módulo de reportes carece de filtros básicos que usamos a diario,67,12,12,True,False,False,False,True,False
FB-00005,2025-12-10,chat,startup,basic,en,We can't use half the features because they're buggy.,1,features,negative,low,True,13.8,we can t use half the features because they re buggy,52,11,12,True,False,False,False,False,False
FB-00006,2025-12-17,review,agency,basic,es,Los materiales de capacitación nos ayudaron a adoptar la plataforma rápido.,4,onboarding,positive,low,True,8.9,los materiales de capacitación nos ayudaron a adoptar la plataforma rápido,74,11,12,False,True,False,False,False,False
FB-00007,2025-12-02,nps_survey,startup,basic,es,Configurar la autenticación multifactor fue sencillo. Estamos creciendo rápido y necesitamos una solución pronto.,5,account_access,positive,high,True,43.1,configurar la autenticación multifactor fue sencillo estamos creciendo rápido y necesitamos una solución pronto,111,14,12,False,True,False,True,False,False
FB-00008,2025-10-26,review,agency,enterprise,es,La mayoría de integraciones son estables; algunas requieren reautorización periódica. Gestionamos varias cuentas de clientes y esto nos está frenando.,3,integrations,neutral,medium,False,13.5,la mayoría de integraciones son estables algunas requieren reautorización periódica gestionamos varias cuentas de clientes y esto nos está frenando,147,20,10,False,False,False,False,True,False
FB-00009,2025-12-15,chat,small_business,basic,en,Payment reminders are helpful and never feel intrusive.,5,billing,positive,high,True,42.1,payment reminders are helpful and never feel intrusive,54,8,12,False,True,False,True,False,False
FB-00010,2025-11-25,email,freelancer,pro,en,"The invoice total doesn't match what I agreed to at checkout. As a freelancer, this matters a lot to my workflow.",1,billing,negative,critical,False,162.5,the invoice total doesn t match what i agreed to at checkout as a freelancer this matters a lot to my workflow,110,22,11,True,False,True,False,True,True
FB-00011,2025-11-17,contact_form,agency,free,en,API documentation is clear and webhooks fire consistently.,4,integrations,positive,high,True,35.6,api documentation is clear and webhooks fire consistently,57,8,11,False,True,False,True,False,False
FB-00012,2025-07-05,email,freelancer,free,es,"No puedo restablecer mi contraseña y el soporte no ha ayudado en días. Como freelancer, esto afecta mucho mi flujo de trabajo.",1,account_access,negative,high,False,29.7,no puedo restablecer mi contraseña y el soporte no ha ayudado en días como freelancer esto afecta mucho mi flujo de trabajo,123,22,7,True,False,False,True,True,False
FB-00013,2025-03-07,contact_form,agency,basic,es,"Notamos demoras menores en horas pico pero nada crítico. Con el plan básico, esperábamos un soporte más ágil.",3,performance,neutral,critical,False,120.8,notamos demoras menores en horas pico pero nada crítico con el plan básico esperábamos un soporte más ágil,106,18,3,False,False,True,False,True,True
FB-00014,2025-08-13,review,enterprise,pro,es,El soporte nos redirige sin ofrecer soluciones reales. Esto impacta a varios departamentos de nuestra organización.,1,support,negative,high,True,66.4,el soporte nos redirige sin ofrecer soluciones reales esto impacta a varios departamentos de nuestra organización,113,16,8,True,False,False,True,False,False
FB-00015,2025-02-04,review,freelancer,basic,en,"Invoices are clear and payments process without issues. Given our basic plan, we hoped for smoother support.",4,billing,positive,low,True,6.7,invoices are clear and payments process without issues given our basic plan we hoped for smoother support,105,17,2,False,True,False,False,False,False
FB-00016,2025-07-28,review,small_business,enterprise,en,"Login is reliable, though password reset emails are slow. Our small team depends on this working reliably.",3,account_access,neutral,high,False,49.5,login is reliable though password reset emails are slow our small team depends on this working reliably,103,17,7,False,False,False,True,True,False
FB-00017,2025-07-26,chat,freelancer,free,en,The invoice total doesn't match what I agreed to at checkout. We're on the free plan but still expect basic reliability.,1,billing,negative,critical,False,64.8,the invoice total doesn t match what i agreed to at checkout we re on the free plan but still expect basic reliability,118,23,7,True,False,True,False,True,True
FB-00018,2025-10-09,review,freelancer,enterprise,en,"Support responded within an hour and solved our issue completely. As a freelancer, this matters a lot to my workflow.",5,support,positive,high,False,93.8,support responded within an hour and solved our issue completely as a freelancer this matters a lot to my workflow,114,20,10,False,True,False,True,True,False
FB-00019,2025-03-26,review,enterprise,free,es,Dependemos de exportaciones diarias y han sido 100% confiables. Esto impacta a varios departamentos de nuestra organización.,5,exports,positive,medium,False,39.4,dependemos de exportaciones diarias y han sido 100 confiables esto impacta a varios departamentos de nuestra organización,121,17,3,False,True,False,False,True,False
FB-00020,2025-04-08,nps_survey,enterprise,basic,es,La documentación de la API es clara y los webhooks funcionan de forma consistente. Esto impacta a varios departamentos de nuestra organización.,4,integrations,positive,high,False,28.4,la documentación de la api es clara y los webhooks funcionan de forma consistente esto impacta a varios departamentos de nuestra organización,141,22,4,False,True,False,True,True,False
FB-00021,2025-01-30,nps_survey,agency,basic,es,"El inicio de sesión SSO funciona sin problemas en toda la organización. Con el plan básico, esperábamos un soporte más ágil.",4,account_access,positive,medium,True,24.2,el inicio de sesión sso funciona sin problemas en toda la organización con el plan básico esperábamos un soporte más ágil,121,21,1,False,True,False,False,False,False
FB-00022,2025-12-03,email,freelancer,enterprise,en,"Permissions are adequate but lack fine-grained options. As enterprise customers, we expect priority handling.",3,account_access,neutral,low,True,7.3,permissions are adequate but lack fine grained options as enterprise customers we expect priority handling,106,15,12,False,False,False,False,False,False
FB-00023,2025-08-23,chat,freelancer,free,es,"El precio es justo por el valor que obtenemos de la plataforma. Como freelancer, esto afecta mucho mi flujo de trabajo.",4,pricing,positive,medium,True,45.3,el precio es justo por el valor que obtenemos de la plataforma como freelancer esto afecta mucho mi flujo de trabajo,116,21,8,False,True,False,False,False,False
FB-00024,2025-11-10,support_ticket,enterprise,pro,es,Funciones clave anunciadas en la web simplemente no existen aún.,2,features,negative,medium,True,43.1,funciones clave anunciadas en la web simplemente no existen aún,63,10,11,True,False,False,False,False,False
FB-00025,2025-05-25,nps_survey,small_business,pro,es,Los tiempos de carga son consistentemente bajos para nuestro equipo. Pasamos al plan Pro justamente por un mejor servicio.,5,performance,positive,high,True,59.2,los tiempos de carga son consistentemente bajos para nuestro equipo pasamos al plan pro justamente por un mejor servicio,120,19,5,False,True,False,True,False,False
FB-00026,2025-06-20,support_ticket,freelancer,free,en,The guided setup wizard made configuration effortless. We're on the free plan but still expect basic reliability.,5,onboarding,positive,medium,True,25.1,the guided setup wizard made configuration effortless we re on the free plan but still expect basic reliability,111,18,6,False,True,False,False,False,False
FB-00027,2025-08-09,support_ticket,startup,basic,en,Navigation is clean and new team members pick it up quickly. We're scaling fast and need this resolved quickly.,5,usability,positive,medium,False,46.9,navigation is clean and new team members pick it up quickly we re scaling fast and need this resolved quickly,109,20,8,False,True,False,False,True,False
FB-00028,2025-10-14,support_ticket,freelancer,pro,en,Support keeps redirecting us without offering real solutions.,2,support,negative,high,True,35.7,support keeps redirecting us without offering real solutions,60,8,10,True,False,False,True,False,False
FB-00029,2025-12-09,review,startup,enterprise,en,My subscription renewed without warning and I can't get a refund. We're scaling fast and need this resolved quickly.,2,billing,negative,medium,True,42.9,my subscription renewed without warning and i can t get a refund we re scaling fast and need this resolved quickly,114,21,12,True,False,False,False,False,False
